iter	Passed	Remaining
910	2293	224
911	2294	221
912	2295	218
913	2297	216
914	2298	213
915	2302	211
916	2303	208
917	2305	205
918	2306	203
919	2307	200
920	2308	198
921	2309	195
922	2310	192
923	2312	190
924	2313	187
925	2314	184
926	2317	182
927	2319	179
928	2320	177
929	2321	174
930	2322	172
931	2323	169
932	2324	166
933	2326	164
934	2327	161
935	2328	159
936	2329	156
937	2333	154
938	2334	151
939	2336	149
940	2337	146
941	2339	144
942	2340	141
943	2342	138
944	2343	136
945	2345	133
946	2349	131
947	2350	128
948	2352	126
949	2353	123
950	2355	121
951	2356	118
952	2358	116
953	2359	113
954	2363	111
955	2364	108
956	2366	106
957	2367	103
958	2369	101
959	2370	98
960	2372	96
961	2373	93
962	2375	91
963	2378	88
964	2380	86
965	2381	83
966	2383	81
967	2385	78
968	2386	76
969	2387	73
970	2389	71
971	2391	68
972	2395	66
973	2397	63
974	2398	61
975	2400	59
976	2401	56
977	2403	54
978	2405	51
979	2406	49
980	2411	46
981	2412	44
982	2414	41
983	2415	39
984	2416	36
985	2418	34
986	2420	31
987	2421	29
988	2425	26
989	2427	24
990	2428	22
991	2429	19
992	2431	17
993	2432	14
994	2434	12
995	2435	9
996	2437	7
997	2441	4
998	2442	2
999	2443	0
